geneID	Gho_TRT_Liver_male_1	Gho_TRT_Liver_male_2	Gho_TRT_Liver_male_3	Gho_TRT_Liver_male_4	Gho_TRT_Liver_male_5	Gho_TRT_Liver_male_6	Gho_CTR_Liver_male_1	Gho_CTR_Liver_male_2	Gho_CTR_Liver_male_3	Gho_CTR_Liver_male_4	Gho_CTR_Liver_male_5	Gho_CTR_Liver_male_6
ENSMUSG00000000001|Gnai3	2102	2067	2246	2442	2062	2423	2343	2305	2232	2472	2329	2657
ENSMUSG00000000003|Pbsn	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028|Cdc45	15	12	20	5	41	23	20	18	15	32	15	29
ENSMUSG00000000031|H19	2	3	1	2	0	10	3	4	3	3	13	6
ENSMUSG00000000037|Scml2	0	3	1	1	0	0	0	1	1	0	2	3
ENSMUSG00000000049|Apoh	43389	43895	40459	45893	47736	47600	59484	49079	47690	41314	46227	57944
ENSMUSG00000000056|Narf	905	889	752	919	977	1133	1256	1139	986	895	900	1144
ENSMUSG00000000058|Cav2	83	80	58	125	64	69	86	120	71	73	55	85
ENSMUSG00000000078|Klf6	207	216	237	258	235	332	319	364	293	293	274	272
ENSMUSG00000000085|Scmh1	76	99	140	103	149	147	121	134	99	88	79	87
ENSMUSG00000000088|Cox5a	1991	1810	2002	2166	2146	1968	2328	1825	2063	1899	2460	2446
ENSMUSG00000000093|Tbx2	67	68	74	60	52	76	56	47	57	47	80	51
ENSMUSG00000000094|Tbx4	0	0	1	0	1	1	0	0	2	0	0	3
ENSMUSG00000000103|Zfy2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120|Ngfr	64	71	90	88	71	120	65	58	61	65	170	79
ENSMUSG00000000125|Wnt3	0	0	0	1	0	1	0	1	0	0	0	0
ENSMUSG00000000126|Wnt9a	14	4	4	3	11	7	12	19	3	8	1	6
ENSMUSG00000000127|Fer	304	294	340	329	312	305	243	344	324	319	256	359
ENSMUSG00000000131|Xpo6	742	654	771	786	707	734	836	722	697	587	723	775
ENSMUSG00000000134|Tfe3	422	365	389	350	421	357	395	335	349	374	356	403
ENSMUSG00000000142|Axin2	152	114	61	121	140	93	160	216	81	84	102	129
ENSMUSG00000000148|Baat1	180	221	192	197	252	270	255	181	167	141	244	179
ENSMUSG00000000149|Gna12	2375	2591	2021	2525	2678	2833	2513	2167	1669	1366	1918	2147
ENSMUSG00000000154|Slc22a18	1277	1263	1229	1314	1495	1633	1540	1382	1137	1100	1542	1427
ENSMUSG00000000157|Itgb2l	0	0	0	0	0	0	0	1	3	0	0	1
ENSMUSG00000000159|Igsf5	507	549	595	593	561	460	558	503	535	433	452	614
ENSMUSG00000000167|Pih1d2	10	17	14	6	8	4	5	11	13	7	10	15
ENSMUSG00000000168|Dlat	982	929	1332	1265	1004	847	1315	1180	1154	1054	887	1427
ENSMUSG00000000171|Sdhd	2656	2590	2828	2833	2998	3001	3419	2805	3082	2957	3403	3835
ENSMUSG00000000182|Fgf23	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000183|Fgf6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184|Ccnd2	190	201	252	241	266	178	187	191	166	193	179	160
ENSMUSG00000000194|Gpr107	388	364	406	444	558	530	527	384	395	384	414	437
ENSMUSG00000000197|Nalcn	0	1	1	2	3	1	0	1	3	2	0	0
ENSMUSG00000000202|Btbd17	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000204|Slfn4	0	3	9	10	0	10	7	2	2	4	3	41
ENSMUSG00000000214|Th	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000215|Ins2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216|Scnn1g	1	2	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000000223|Drp2	0	0	0	2	0	0	0	0	1	0	5	0
ENSMUSG00000000244|Tspan32	3	2	1	3	6	4	9	6	2	3	7	4
ENSMUSG00000000247|Lhx2	35	57	53	47	56	62	57	46	29	23	47	61
ENSMUSG00000000248|Clec2g	0	2	1	4	0	3	2	0	1	0	0	2
ENSMUSG00000000253|Gmpr	12	15	14	14	13	17	20	10	21	17	11	18
ENSMUSG00000000263|Glra1	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000000266|Mid2	137	167	125	194	146	156	192	234	155	177	156	176
ENSMUSG00000000275|Trim25	653	728	709	764	750	984	916	1170	816	669	805	816
ENSMUSG00000000276|Dgke	61	46	66	68	60	51	101	95	75	49	52	77
ENSMUSG00000000278|Scpep1	734	759	723	860	775	662	1013	820	790	744	799	949
ENSMUSG00000000282|Mnt	66	45	57	91	123	119	145	110	49	56	66	69
ENSMUSG00000000290|Itgb2	166	143	122	185	152	158	214	121	171	155	146	165
ENSMUSG00000000295|Hddc2	18	8	11	18	4	14	24	16	24	16	15	26
ENSMUSG00000000296|Tpd52l1	93	108	113	123	112	115	109	109	98	92	105	94
ENSMUSG00000000301|Pemt	5038	4636	5308	5063	5352	4306	5098	4374	4298	4517	5263	5270
ENSMUSG00000000303|Cdh1	575	755	785	806	983	1139	311	617	610	534	1078	442
ENSMUSG00000000305|Cdh4	25	22	17	29	31	72	29	30	14	20	14	10
ENSMUSG00000000308|Ckmt1	1	1	0	5	1	0	0	1	0	2	2	2
ENSMUSG00000000317|Bcl6b	16	24	62	27	10	18	20	24	49	29	92	54
ENSMUSG00000000318|Clec10a	2	4	1	7	5	5	6	5	5	5	3	6
ENSMUSG00000000320|Alox12	7	8	9	8	12	14	12	10	8	0	7	10
ENSMUSG00000000325|Arvcf	283	265	264	327	252	349	328	283	226	214	313	308
ENSMUSG00000000326|Comt	8881	8716	10862	9520	7994	6410	10320	9029	10705	10248	7909	10633
ENSMUSG00000000339|Rtcd1	162	167	138	180	194	173	228	171	153	163	156	183
ENSMUSG00000000340|Dbt	1841	1884	1847	2239	2234	3527	2373	2355	1981	1960	2886	2532
