"","Gene_name","Sample_CTR1_liver_ZT02","Sample_CTR1_liver_ZT06","Sample_CTR1_liver_ZT10","Sample_CTR1_liver_ZT14","Sample_CTR1_liver_ZT18","Sample_CTR1_liver_ZT22","Sample_CTR2_liver_ZT02","Sample_CTR2_liver_ZT06","Sample_CTR2_liver_ZT10","Sample_CTR2_liver_ZT14","Sample_CTR2_liver_ZT18","Sample_CTR2_liver_ZT22"
"1","ENSMUSG00000000001|Gnai3",4975,4400,4367,4968,4793,4606,4835,5003,10521,4441,4491,3926
"3","ENSMUSG00000000028|Cdc45",39,26,43,49,55,37,36,49,85,44,35,38
"4","ENSMUSG00000000031|H19",2,5,4,7,2,9,6,6,130,6,7,6
"6","ENSMUSG00000000049|Apoh",58033,57773,51656,67495,57121,59583,56687,69417,117609,50355,55857,51074
"7","ENSMUSG00000000056|Narf",2321,2403,3269,2541,1882,1906,1456,2542,6283,1997,2085,1734
"8","ENSMUSG00000000058|Cav2",194,201,253,267,181,333,233,223,519,279,174,246
"9","ENSMUSG00000000078|Klf6",425,453,454,472,407,584,410,908,796,350,396,366
"10","ENSMUSG00000000085|Scmh1",246,252,194,196,163,235,193,250,353,186,169,189
"11","ENSMUSG00000000088|Cox5a",5295,5005,4383,5186,4972,4036,5093,5327,10200,4859,5085,3674
"12","ENSMUSG00000000093|Tbx2",120,173,140,147,147,131,131,193,300,123,126,94
"15","ENSMUSG00000000120|Ngfr",188,236,100,98,125,257,217,263,202,106,167,190
"17","ENSMUSG00000000126|Wnt9a",16,27,53,37,36,21,27,19,135,36,35,20
"18","ENSMUSG00000000127|Fer",456,479,471,539,312,675,449,629,901,416,365,456
"19","ENSMUSG00000000131|Xpo6",1694,1548,1577,1653,1454,1513,1616,1856,2845,1405,1515,1202
"20","ENSMUSG00000000134|Tfe3",924,793,637,693,836,662,775,901,1418,804,846,578
"21","ENSMUSG00000000142|Axin2",481,412,404,245,267,499,577,486,573,271,318,489
"22","ENSMUSG00000000148|Baat1",698,505,424,522,577,496,563,556,788,471,648,467
"23","ENSMUSG00000000149|Gna12",5005,4847,6518,7261,5272,5260,4873,5118,12721,4854,6017,4862
"24","ENSMUSG00000000154|Slc22a18",2663,2765,2488,2578,2402,2338,2295,3489,4473,2060,2718,1970
"26","ENSMUSG00000000159|Igsf5",1146,1018,971,1166,1197,1023,1089,1117,2471,1074,1156,900
"27","ENSMUSG00000000167|Pih1d2",18,17,11,24,35,20,18,10,29,15,31,27
"28","ENSMUSG00000000168|Dlat",2366,2194,2422,2412,1617,2571,2845,2935,4933,2214,1865,1845
