Gene_name	Exon_length	Sample_CTR2_liver_ZT14_F	Sample_CTR2_liver_ZT18_F	Sample_CTR2_liver_ZT22_F	Sample_CTR1_liver_ZT02_F	Sample_CTR1_liver_ZT06_F	Sample_CTR1_liver_ZT10_F	Sample_CTR1_liver_ZT14_F	Sample_CTR1_liver_ZT18_F	Sample_CTR1_liver_ZT22_F	Sample_CTR2_liver_ZT02_F	Sample_CTR2_liver_ZT06_F	Sample_CTR2_liver_ZT10_F	Sample_GFM2_liver_ZT14_F	Sample_GFM2_liver_ZT18_F	Sample_GFM2_liver_ZT22_F	Sample_GFM1_liver_ZT02_F	Sample_GFM1_liver_ZT06_F	Sample_GFM1_liver_ZT10_F	Sample_GFM1_liver_ZT14_F	Sample_GFM1_liver_ZT18_F	Sample_GFM1_liver_ZT22_F	Sample_GFM2_liver_ZT02_F	Sample_GFM2_liver_ZT06_F	Sample_GFM2_liver_ZT10_F
1	ENSMUSG00000000001|Gnai3	3262	4830	4313	4911	4985	5508	4960	4733	4637	4272	5512	4679	4339	4060	4051	4725	4985	4059	4688	3853	4337	4303	3610	5085	4387
2	ENSMUSG00000000003|Pbsn	902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
3	ENSMUSG00000000028|Cdc45	2252	62	60	46	43	38	47	56	44	26	67	37	53	32	34	32	32	33	24	20	44	38	48	39	30
4	ENSMUSG00000000031|H19	2372	29	30	9	23	41	23	47	21	9	68	12	52	116	397	250	174	239	162	70	15	62	38	30	68
5	ENSMUSG00000000037|Scml2	6079	0	0	1	5	2	7	3	1	2	4	4	8	2	5	3	2	1	6	2	0	0	0	1	0
6	ENSMUSG00000000049|Apoh	2498	68978	65788	73797	70083	72257	70014	71803	66069	65083	74274	65842	59670	75759	65564	80213	74382	74457	85232	69400	84421	74441	57583	73630	82814
7	ENSMUSG00000000056|Narf	4806	2079	2113	1807	1579	2557	3466	1917	1913	1788	1533	2766	3296	3524	2000	1930	1710	1694	3162	2955	1627	1460	1288	1946	2935
8	ENSMUSG00000000058|Cav2	3335	309	244	316	291	271	356	284	264	291	319	262	296	335	289	297	260	207	254	263	294	303	209	332	283
9	ENSMUSG00000000078|Klf6	4217	654	625	571	702	1084	651	595	612	598	772	791	654	668	528	863	948	695	730	442	651	780	483	900	866
10	ENSMUSG00000000085|Scmh1	7731	202	135	204	211	205	238	158	172	160	219	249	185	188	122	173	202	164	180	136	102	111	142	174	199
