Gene_name	Exon_length	Sample_CTR1_WAT_ZT02	Sample_CTR1_WAT_ZT06	Sample_CTR1_WAT_ZT10	Sample_CTR1_WAT_ZT14	Sample_CTR1_WAT_ZT18	Sample_CTR1_WAT_ZT22	Sample_CTR2_WAT_ZT02	Sample_CTR2_WAT_ZT06	Sample_CTR2_WAT_ZT10	Sample_CTR2_WAT_ZT14	Sample_CTR2_WAT_ZT18	Sample_CTR2_WAT_ZT22	Sample_GFM1_WAT_ZT06	Sample_GFM1_WAT_ZT10	Sample_GFM1_WAT_ZT22	Sample_GFM2_WAT_ZT02	Sample_GFM2_WAT_ZT06	Sample_GFM2_WAT_ZT10	Sample_GFM2_WAT_ZT14	Sample_GFM2_WAT_ZT18	Sample_GFM2_WAT_ZT22
ENSMUSG00000000001|Gnai3	3262	4931	3998	3696	3968	2740	3062	4666	3653	5359	3601	3906	4203	4505	4667	4426	5130	4868	3949	3364	4810	5351
ENSMUSG00000000003|Pbsn	902	0	0	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028|Cdc45	2252	278	191	180	243	119	160	161	202	275	221	184	214	254	337	218	232	228	264	237	254	262
ENSMUSG00000000031|H19	2372	7	6	13	10	7	34	40	22	34	11	15	41	18	31	27	30	29	21	16	22	31
ENSMUSG00000000037|Scml2	6079	50	57	38	54	22	51	85	48	73	49	46	58	54	34	55	42	47	45	41	56	35
ENSMUSG00000000049|Apoh	2498	49	54	67	52	42	47	329	19	19	26	30	18	52	47	92	20	29	23	187	22	30
ENSMUSG00000000056|Narf	4806	1213	1067	1017	900	560	768	971	847	1379	822	830	1020	1300	1504	1102	1134	1416	1156	908	1027	1394
ENSMUSG00000000058|Cav2	3335	27591	27311	19123	24909	20249	21709	23476	25274	31533	23411	24315	25646	25351	28035	20450	23987	23583	25911	24559	32068	24502
ENSMUSG00000000078|Klf6	4217	5252	6382	6182	7353	4784	3938	6494	5165	8823	6536	7616	6110	6374	6336	5448	6448	6932	7112	6269	8046	6348
ENSMUSG00000000085|Scmh1	7731	707	683	631	571	473	489	742	662	800	538	517	599	576	658	649	572	690	789	446	595	667
ENSMUSG00000000088|Cox5a	1561	2478	2726	1658	1785	1453	1900	2322	2648	2009	1685	1700	2127	3198	4045	2663	2649	3336	2728	2524	4009	5309
ENSMUSG00000000093|Tbx2	3626	591	144	147	188	89	145	520	210	342	229	331	276	146	236	891	150	666	269	196	204	583
ENSMUSG00000000094|Tbx4	3401	14	23	44	16	9	5	26	29	26	16	21	20	17	24	19	52	18	23	18	16	36
ENSMUSG00000000103|Zfy2	2816	0	0	0	0	1	3	1	0	0	0	1	0	2	1	2	0	1	0	0	1	0
ENSMUSG00000000120|Ngfr	3446	53	22	9	10	15	26	37	23	13	23	19	30	16	11	51	11	32	18	7	17	22
ENSMUSG00000000125|Wnt3	3076	0	0	0	6	0	5	2	0	0	0	1	0	7	0	4	1	0	1	0	0	0
