	Cry_KO_Exon_ZT_02_1	Cry_KO_Exon_ZT_06_1	Cry_KO_Exon_ZT_10_1	Cry_KO_Exon_ZT_14_1	Cry_KO_Exon_ZT_18_1	Cry_KO_Exon_ZT_22_1	Cry_KO_Exon_ZT_02_2	Cry_KO_Exon_ZT_06_2	Cry_KO_Exon_ZT_10_2	Cry_KO_Exon_ZT_14_2	Cry_KO_Exon_ZT_18_2	Cry_KO_Exon_ZT_22_2
ENSMUSG00000000001|Gnai3	4965	4649	4921	3493	3962	4196	3567	3241	4317	5002	3784	4051
ENSMUSG00000000028|Cdc45	58	50	28	23	27	39	36	34	46	56	44	33
ENSMUSG00000000031|H19	2	3	1	9	32	43	5	16	6	3	2	0
ENSMUSG00000000037|Scml2	5	1	0	1	0	1	5	1	0	6	3	0
ENSMUSG00000000049|Apoh	67792	62401	67432	51483	44507	46839	53495	57322	64263	59786	43196	53247
ENSMUSG00000000056|Narf	3307	2828	2638	1906	2409	2606	1958	2097	2668	2525	2452	2922
ENSMUSG00000000058|Cav2	229	229	296	229	142	245	207	182	305	263	174	204
ENSMUSG00000000078|Klf6	535	512	469	453	430	497	423	465	576	494	349	440
ENSMUSG00000000085|Scmh1	213	240	166	170	209	184	204	208	188	184	182	198
ENSMUSG00000000088|Cox5a	5278	5151	4480	4834	4766	4731	3937	3954	5317	5264	4328	4438
ENSMUSG00000000093|Tbx2	203	205	183	165	116	176	178	149	179	160	132	169
ENSMUSG00000000094|Tbx4	2	3	2	0	0	2	0	1	0	3	2	1
ENSMUSG00000000120|Ngfr	330	350	142	187	299	218	233	253	250	247	253	225
ENSMUSG00000000126|Wnt9a	9	20	13	17	17	20	26	26	44	19	21	16
ENSMUSG00000000127|Fer	615	556	424	344	431	470	481	421	463	470	425	454
ENSMUSG00000000131|Xpo6	1742	1817	1545	1385	1431	1448	1554	1650	1746	1718	1348	1446
ENSMUSG00000000134|Tfe3	874	820	924	813	820	667	717	603	926	954	712	802
ENSMUSG00000000142|Axin2	393	227	492	353	375	236	386	304	405	341	390	368
ENSMUSG00000000148|Baat1	572	540	437	609	480	460	455	491	555	535	503	501
ENSMUSG00000000149|Gna12	5247	4804	6644	6068	5498	5587	6986	7248	7336	6946	5495	5542
ENSMUSG00000000154|Slc22a18	3058	2770	2563	2478	2618	2499	2776	2435	2563	2862	2599	2462
ENSMUSG00000000157|Itgb2l	2	0	1	1	0	2	2	5	0	0	2	0
ENSMUSG00000000159|Igsf5	1101	1004	993	892	901	884	788	837	1105	1257	941	914
ENSMUSG00000000167|Pih1d2	16	15	30	13	29	29	14	12	18	27	29	19
ENSMUSG00000000168|Dlat	2474	2665	1736	1965	1876	1705	1722	1768	2261	2038	1667	1696
ENSMUSG00000000171|Sdhd	7786	7173	5850	5783	5597	6116	5154	5358	6739	6852	5402	5607
ENSMUSG00000000184|Ccnd2	639	599	500	685	647	584	506	391	581	768	541	630
ENSMUSG00000000194|Gpr107	1082	996	1041	1040	1044	1013	953	987	1042	1068	908	949
ENSMUSG00000000197|Nalcn	2	0	0	7	0	1	3	4	3	1	1	2
ENSMUSG00000000204|Slfn4	22	9	11	10	3	14	19	9	6	9	3	34
ENSMUSG00000000223|Drp2	5	0	0	1	1	4	1	0	1	0	3	0
ENSMUSG00000000244|Tspan32	31	17	21	15	14	22	18	13	20	13	11	13
ENSMUSG00000000247|Lhx2	71	84	85	53	107	70	107	151	110	103	77	75
ENSMUSG00000000248|Clec2g	1	0	0	0	5	0	3	1	0	3	1	0
ENSMUSG00000000253|Gmpr	66	51	38	29	36	58	36	48	57	31	52	60
ENSMUSG00000000266|Mid2	447	422	312	333	372	409	285	315	370	444	294	343
ENSMUSG00000000275|Trim25	2532	2585	3049	3015	2544	2125	2142	3184	3523	3394	2567	2395
ENSMUSG00000000276|Dgke	192	117	246	119	162	131	162	146	208	151	131	131
ENSMUSG00000000278|Scpep1	1782	1642	1912	1103	1200	1237	1174	1187	1547	1262	1115	1296
ENSMUSG00000000282|Mnt	535	347	371	226	363	298	456	359	295	379	354	347
ENSMUSG00000000290|Itgb2	514	341	345	375	389	351	380	297	359	338	325	475
ENSMUSG00000000295|Hddc2	49	42	41	43	30	31	26	22	51	18	24	16
ENSMUSG00000000296|Tpd52l1	230	256	197	222	173	169	191	243	299	269	192	207
ENSMUSG00000000301|Pemt	7841	7717	5393	6936	6428	5972	6417	5611	5821	6205	5858	7130
ENSMUSG00000000303|Cdh1	2913	2052	1988	2779	4068	2930	1829	1601	2183	2837	3194	1963
ENSMUSG00000000305|Cdh4	33	32	114	31	51	39	33	48	57	65	34	45
ENSMUSG00000000308|Ckmt1	5	2	0	0	4	153	1	1	1	5	0	2
ENSMUSG00000000317|Bcl6b	70	70	140	260	101	72	61	91	180	190	88	92
ENSMUSG00000000318|Clec10a	21	12	10	11	14	14	7	14	18	9	6	11
ENSMUSG00000000320|Alox12	57	39	17	23	42	39	27	19	28	44	37	43
ENSMUSG00000000325|Arvcf	871	768	483	588	766	625	706	803	760	666	554	676
ENSMUSG00000000326|Comt	36239	26666	24161	31757	37428	35285	34004	28509	33136	45052	31392	37828
ENSMUSG00000000339|Rtcd1	360	403	439	343	363	345	311	308	396	361	333	426
ENSMUSG00000000340|Dbt	6961	5541	5164	3848	3879	5212	4878	4396	5149	5263	3964	4461
ENSMUSG00000000346|Dazap2	3033	2944	3039	2542	2326	2525	2913	3190	3662	3273	2211	2628
ENSMUSG00000000355|Mcts1	807	878	759	574	572	652	626	575	780	906	703	710
ENSMUSG00000000359|Rem1	9	21	11	18	30	21	18	25	18	24	10	16
ENSMUSG00000000365|Rnf17	12	2	0	5	3	5	3	4	3	5	2	2
ENSMUSG00000000374|Trappc10	1539	1588	1974	1586	1567	1615	1455	1360	1880	1800	1484	1595
ENSMUSG00000000378|Ccm2	641	623	747	748	755	626	627	640	738	863	656	756
ENSMUSG00000000384|Tbrg4	1099	1044	1080	1247	1120	1023	858	959	1313	1318	1058	1104
ENSMUSG00000000385|Tmprss2	165	108	88	146	113	182	124	111	121	98	113	90
ENSMUSG00000000386|Mx1	92	44	24	40	51	65	27	44	39	31	34	75
ENSMUSG00000000392|Fap	12	3	7	3	5	6	3	2	1	3	9	6
ENSMUSG00000000399|Ndufa9	4130	3797	3255	3392	3310	3598	3050	3129	4036	4226	3049	3067
ENSMUSG00000000402|Egfl6	0	3	4	2	6	4	2	3	5	4	5	1
ENSMUSG00000000409|Lck	54	38	23	27	26	39	17	23	26	28	16	38
ENSMUSG00000000416|Cttnbp2	11	11	7	23	8	32	13	15	16	19	9	11
ENSMUSG00000000420|Galnt1	2810	2385	2617	2016	2182	2413	1924	1902	2674	2698	2168	2446
ENSMUSG00000000439|Mkrn2	621	652	534	520	521	493	651	671	634	601	481	537
ENSMUSG00000000440|Pparg	263	409	114	94	110	154	182	249	245	314	148	146
ENSMUSG00000000441|Raf1	4445	4296	4653	3091	3770	3643	3790	3271	4376	3694	3376	3811
ENSMUSG00000000486|Sept1	52	31	26	20	26	23	31	28	30	24	23	38
ENSMUSG00000000489|Pdgfb	74	46	41	54	87	57	50	84	53	61	58	44
ENSMUSG00000000530|Acvrl1	155	131	117	166	194	158	118	127	149	197	140	168
ENSMUSG00000000531|Grasp	40	52	59	107	62	53	38	49	73	109	38	48
ENSMUSG00000000532|Acvr1b	742	661	604	550	634	600	533	594	542	600	729	594
ENSMUSG00000000538|Tom1l2	887	1026	880	861	948	861	825	778	932	862	830	835
ENSMUSG00000000552|Zfp385a	145	130	137	145	158	122	62	98	176	149	118	132
ENSMUSG00000000555|Itga5	713	802	842	1145	1015	820	531	760	983	1034	946	966
ENSMUSG00000000561|Wdr77	1180	1131	1112	1307	928	1127	988	960	1492	1542	1010	1120
ENSMUSG00000000562|Adora3	3	4	1	4	6	2	0	3	1	3	1	5
ENSMUSG00000000563|Atp5f1	12790	12228	9618	9970	9405	10424	9000	9075	11478	11887	9691	9475
ENSMUSG00000000567|Sox9	123	120	57	177	163	81	64	148	149	147	116	115
ENSMUSG00000000568|Hnrnpd	773	597	609	428	405	479	553	684	715	678	510	535
ENSMUSG00000000579|Dynlt1c	23	14	16	15	22	20	15	16	16	21	13	19
ENSMUSG00000000581|C1d	1657	1562	1388	1150	1023	1371	1250	1248	1533	1491	1138	1207
