geneID	Gho_TRT_Liver_male_1
ENSMUSG00000000001	2102
ENSMUSG00000000003	0
ENSMUSG00000000028	15
ENSMUSG00000000031	2
ENSMUSG00000000037	0
ENSMUSG00000000049	43389
ENSMUSG00000000056	905
ENSMUSG00000000058	83
ENSMUSG00000000078	207
ENSMUSG00000000085	76
ENSMUSG00000000088	1991
ENSMUSG00000000093	67
ENSMUSG00000000094	0
ENSMUSG00000000103	0
ENSMUSG00000000120	64
ENSMUSG00000000125	0
ENSMUSG00000000126	14
ENSMUSG00000000127	304
ENSMUSG00000000131	742
ENSMUSG00000000134	422
ENSMUSG00000000142	152
ENSMUSG00000000148	180
ENSMUSG00000000149	2375
ENSMUSG00000000154	1277
ENSMUSG00000000157	0
ENSMUSG00000000159	507
ENSMUSG00000000167	10
ENSMUSG00000000168	982
ENSMUSG00000000171	2656
ENSMUSG00000000182	0
ENSMUSG00000000183	0
ENSMUSG00000000184	190
ENSMUSG00000000194	388
ENSMUSG00000000197	0
ENSMUSG00000000202	0
ENSMUSG00000000204	0
ENSMUSG00000000214	0
ENSMUSG00000000215	0
ENSMUSG00000000216	1
ENSMUSG00000000223	0
ENSMUSG00000000244	3
ENSMUSG00000000247	35
ENSMUSG00000000248	0
ENSMUSG00000000253	12
ENSMUSG00000000263	0
ENSMUSG00000000266	137
ENSMUSG00000000275	653
ENSMUSG00000000276	61
ENSMUSG00000000278	734
ENSMUSG00000000282	66
ENSMUSG00000000290	166
ENSMUSG00000000295	18
ENSMUSG00000000296	93
ENSMUSG00000000301	5038
ENSMUSG00000000303	575
ENSMUSG00000000305	25
ENSMUSG00000000308	1
ENSMUSG00000000317	16
ENSMUSG00000000318	2
ENSMUSG00000000320	7
ENSMUSG00000000325	283
ENSMUSG00000000326	8881
ENSMUSG00000000339	162
ENSMUSG00000000340	1841
ENSMUSG00000000346	1327
ENSMUSG00000000355	335
ENSMUSG00000000359	4
ENSMUSG00000000365	4
ENSMUSG00000000374	649
ENSMUSG00000000378	278
ENSMUSG00000000381	0
ENSMUSG00000000384	364
ENSMUSG00000000385	19
ENSMUSG00000000386	12
ENSMUSG00000000392	7
ENSMUSG00000000394	0
ENSMUSG00000000399	1579
ENSMUSG00000000402	5
ENSMUSG00000000409	7
ENSMUSG00000000411	0
ENSMUSG00000000416	7
ENSMUSG00000000420	1100
ENSMUSG00000000435	0
ENSMUSG00000000439	221
ENSMUSG00000000440	33
ENSMUSG00000000441	2086
ENSMUSG00000000486	8
ENSMUSG00000000489	16
ENSMUSG00000000530	33
ENSMUSG00000000531	24
