ovary_CV1	ovary_CV2	ovary_CV3	ovary_CV4	ovary_GF1	ovary_GF2	ovary_GF3	ovary_GF4	ovary_GF5	testis_CV1	testis_CV2	testis_CV3	testis_CV4	testis_GF1	testis_GF2	testis_GF3
ENSMUSG00000000001|Gnai3	2976	2894	2698	2818	3396	2670	2773	2766	3008	1783	1714	1888	1945	1885	1931	1762
ENSMUSG00000000003|Pbsn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028|Cdc45	162	113	144	120	201	97	116	174	211	894	876	992	976	921	941	885
ENSMUSG00000000031|H19	265	162	233	239	221	141	232	211	267	34	46	37	40	28	45	39
ENSMUSG00000000037|Scml2	134	125	145	102	118	70	93	123	113	930	927	947	1031	943	1090	1070
ENSMUSG00000000049|Apoh	8	7	5	5	14	10	12	5	9	1175	1161	1280	1151	1066	1066	1078
ENSMUSG00000000056|Narf	504	601	512	553	556	555	516	422	654	206	222	237	268	231	233	215
ENSMUSG00000000058|Cav2	648	921	585	547	563	598	718	569	881	47	42	82	71	62	41	56
ENSMUSG00000000078|Klf6	1348	1396	1225	1282	1806	1319	1203	1284	1551	250	253	310	259	271	270	307
ENSMUSG00000000085|Scmh1	813	774	642	663	724	691	661	595	795	1214	1311	1339	1513	1341	1338	1390
ENSMUSG00000000088|Cox5a	667	769	640	632	814	630	610	562	678	2606	2717	2764	2856	2551	2912	2693
ENSMUSG00000000093|Tbx2	958	855	852	830	870	800	728	729	727	56	59	76	49	66	50	65
ENSMUSG00000000094|Tbx4	43	30	43	39	47	32	43	52	47	24	16	22	17	20	20	29
ENSMUSG00000000103|Zfy2	0	0	0	0	0	0	0	0	0	398	439	463	452	307	381	378
ENSMUSG00000000120|Ngfr	267	1040	386	354	108	625	416	270	298	428	440	440	436	402	395	391
ENSMUSG00000000125|Wnt3	1	0	0	1	3	0	5	1	1	853	913	900	875	807	850	792
ENSMUSG00000000126|Wnt9a	74	121	103	82	70	102	118	67	98	10	15	16	7	11	13	11
ENSMUSG00000000127|Fer	893	1037	851	881	945	906	980	939	1207	2049	2214	2258	2398	2243	2279	2321
ENSMUSG00000000131|Xpo6	1657	1550	1280	1431	1675	1388	1527	1527	1610	7535	7627	7671	8304	8169	8185	8048
ENSMUSG00000000134|Tfe3	584	679	529	635	580	548	613	596	783	324	381	407	409	360	364	403
ENSMUSG00000000142|Axin2	595	668	506	482	491	636	542	455	780	84	71	66	97	91	92	91
ENSMUSG00000000148|Baat1	400	379	308	363	499	376	378	326	368	625	640	684	672	660	713	673
ENSMUSG00000000149|Gna12	1652	1511	1349	1436	1924	1573	1559	1459	1580	1312	1450	1435	1641	1575	1547	1486
ENSMUSG00000000154|Slc22a18	48	62	40	52	39	35	61	41	50	254	284	315	301	292	337	290
ENSMUSG00000000157|Itgb2l	0	1	1	2	1	0	3	3	0	0	0	1	0	1	0	0
ENSMUSG00000000159|Igsf5	408	656	254	250	150	513	172	145	528	33	19	31	22	30	27	26
ENSMUSG00000000167|Pih1d2	111	113	120	106	102	103	102	114	103	1157	1089	1133	1262	1228	1301	1206
ENSMUSG00000000168|Dlat	905	1013	787	832	1065	865	817	786	844	2985	2997	3100	3382	3113	3447	3284
ENSMUSG00000000171|Sdhd	1222	1367	1090	1208	1412	1114	1212	1045	1307	1138	1130	1104	1147	1023	1067	1013
ENSMUSG00000000182|Fgf23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000000183|Fgf6	0	0	0	0	0	0	0	0	0	1	2	0	0	1	2	1
ENSMUSG00000000184|Ccnd2	3475	3121	2449	2942	3060	2379	3045	2990	3889	149	113	135	150	127	132	139
ENSMUSG00000000194|Gpr107	1275	1210	1164	1170	1364	1082	1242	1175	1294	1719	1843	1813	1959	1855	1898	1806
ENSMUSG00000000197|Nalcn	99	97	134	129	112	81	92	86	118	83	64	88	99	77	89	75
ENSMUSG00000000202|Btbd17	29	54	29	33	39	25	37	29	17	5	1	5	1	6	8	8
ENSMUSG00000000204|Slfn4	123	179	190	171	256	61	133	198	138	15	15	18	9	6	9	5
ENSMUSG00000000214|Th	19	12	12	14	12	3	12	15	20	3	3	6	1	1	3	0
ENSMUSG00000000215|Ins2	1	0	0	0	0	0	0	0	0	1	4	3	6	2	0	3
ENSMUSG00000000216|Scnn1g	2	0	0	0	5	0	0	2	0	0	0	0	1	0	3	2
ENSMUSG00000000223|Drp2	135	220	120	144	60	119	165	166	118	136	137	150	145	156	171	148
ENSMUSG00000000244|Tspan32	13	10	9	18	21	23	18	8	26	0	1	2	0	3	0	2
ENSMUSG00000000247|Lhx2	4	2	1	1	0	1	4	0	2	121	124	130	115	89	101	79
ENSMUSG00000000248|Clec2g	1	1	5	0	0	0	1	1	1	1	0	0	0	0	1	0
ENSMUSG00000000253|Gmpr	493	356	312	370	315	244	287	323	356	137	124	138	135	104	113	81
ENSMUSG00000000263|Glra1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000000266|Mid2	671	637	535	570	637	552	533	560	643	83	104	80	114	77	90	117
ENSMUSG00000000275|Trim25	1169	1065	723	800	1047	891	909	956	1344	136	152	132	173	124	134	135
ENSMUSG00000000276|Dgke	498	529	472	502	519	478	503	474	524	614	523	615	610	568	625	606
ENSMUSG00000000278|Scpep1	2585	2215	2216	2218	3107	2159	2382	2606	3058	655	654	560	676	634	693	716
ENSMUSG00000000282|Mnt	224	197	161	155	208	237	188	192	223	1390	1294	1538	1349	1199	1322	1293
ENSMUSG00000000290|Itgb2	190	259	241	182	222	187	241	113	234	33	36	37	39	22	32	42
ENSMUSG00000000295|Hddc2	1020	837	769	767	761	652	601	514	550	133	86	119	105	85	108	96
ENSMUSG00000000296|Tpd52l1	401	394	377	431	286	314	335	427	310	308	283	305	360	326	299	295
ENSMUSG00000000301|Pemt	44	84	70	73	71	80	99	97	66	288	289	302	267	277	268	281
ENSMUSG00000000303|Cdh1	1564	2027	1046	1038	951	1375	940	955	1197	31	24	11	27	23	26	27
ENSMUSG00000000305|Cdh4	89	129	90	117	47	97	121	94	75	27	25	31	24	28	28	27
ENSMUSG00000000308|Ckmt1	75	521	98	170	67	78	80	47	241	6	2	2	3	4	3	2
ENSMUSG00000000317|Bcl6b	167	124	93	113	186	145	179	147	171	95	126	83	105	111	109	111
ENSMUSG00000000318|Clec10a	115	167	112	109	90	106	146	64	110	30	28	35	30	19	20	22
ENSMUSG00000000320|Alox12	102	71	59	67	116	93	89	68	79	91	75	84	132	109	107	115
ENSMUSG00000000325|Arvcf	585	309	284	305	394	261	330	308	306	148	164	221	175	172	227	195
ENSMUSG00000000326|Comt	903	1204	791	838	888	841	1098	699	986	158	152	164	157	187	172	176
ENSMUSG00000000339|Rtcd1	477	448	348	420	496	391	361	409	385	2044	2108	2146	2252	2069	2184	2209
ENSMUSG00000000340|Dbt	818	856	677	778	1001	601	825	858	921	227	192	171	245	202	236	254
ENSMUSG00000000346|Dazap2	2049	2228	1763	1949	2103	1830	1948	1729	2306	1943	2068	2159	2361	2052	2116	1971
ENSMUSG00000000355|Mcts1	380	351	330	346	437	349	353	323	400	51	57	58	47	56	57	50
ENSMUSG00000000359|Rem1	154	172	126	135	163	160	127	115	158	19	24	27	31	28	27	34
ENSMUSG00000000365|Rnf17	116	102	127	107	82	61	73	91	83	9415	9303	9658	10043	8929	10017	9726
ENSMUSG00000000374|Trappc10	1262	1178	1056	1091	1222	1128	1095	1080	1070	1191	1175	1186	1302	1207	1366	1222
ENSMUSG00000000378|Ccm2	480	378	376	381	501	382	426	394	453	245	276	336	292	269	313	277
ENSMUSG00000000381|Wap	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	3
ENSMUSG00000000384|Tbrg4	417	383	294	332	381	351	376	341	336	990	1069	1064	1162	1078	979	984
ENSMUSG00000000385|Tmprss2	255	434	216	275	136	240	225	99	257	28	14	29	21	21	22	25
ENSMUSG00000000386|Mx1	34	114	48	25	53	47	45	26	69	67	77	69	40	58	58	67
ENSMUSG00000000392|Fap	103	150	86	117	140	119	112	53	178	3	6	2	1	5	5	1
ENSMUSG00000000394|Gcg	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000000399|Ndufa9	838	1021	840	889	1050	814	950	818	947	2191	2164	2339	2279	2269	2617	2438
ENSMUSG00000000402|Egfl6	204	296	164	140	253	183	150	223	183	4	10	4	7	7	4	9
ENSMUSG00000000409|Lck	37	43	22	34	61	47	47	34	43	33	35	38	31	26	37	26
ENSMUSG00000000411|Tssk3	4	3	1	4	3	0	1	8	0	5158	5388	5365	5168	4887	5143	4989
ENSMUSG00000000416|Cttnbp2	356	252	203	238	269	246	204	258	294	90	92	86	85	71	72	72
ENSMUSG00000000420|Galnt1	2788	2799	2740	2770	2990	2435	2682	2470	2471	1201	1126	1182	1363	1116	1253	1209
ENSMUSG00000000435|Myf5	21	14	18	21	30	12	16	36	23	2	1	0	3	0	0	0
ENSMUSG00000000439|Mkrn2	621	477	415	427	656	376	409	417	439	2085	2175	2229	2271	2257	2561	2355
ENSMUSG00000000440|Pparg	573	663	577	568	739	412	642	598	411	56	79	73	84	73	86	83
ENSMUSG00000000441|Raf1	2581	2451	2265	2394	3320	2176	2418	2484	2407	1544	1587	1635	1730	1543	1626	1518
ENSMUSG00000000486|Sept1	32	33	36	24	50	35	33	34	39	3	2	4	7	3	6	5
ENSMUSG00000000489|Pdgfb	246	233	199	237	409	225	219	210	247	51	60	53	41	33	35	38
ENSMUSG00000000530|Acvrl1	398	431	362	437	445	369	387	354	442	72	73	92	82	65	57	64
ENSMUSG00000000531|Grasp	231	201	162	146	264	251	220	227	267	23	33	25	32	25	30	23
ENSMUSG00000000532|Acvr1b	613	747	519	546	548	518	549	504	772	583	577	638	612	629	620	617
ENSMUSG00000000538|Tom1l2	1186	1420	1179	1424	1196	1000	1306	1224	1411	447	441	429	529	411	514	474
ENSMUSG00000000544|Gpa33	8	5	7	4	6	11	3	2	6	4	12	5	14	12	8	14
ENSMUSG00000000552|Zfp385a	48	61	34	22	26	40	52	45	63	692	729	757	850	678	722	725
ENSMUSG00000000555|Itga5	475	536	408	429	509	581	440	413	589	19	17	26	21	19	15	29
ENSMUSG00000000560|Gabra2	1	1	0	1	1	2	1	0	2	0	0	1	0	1	1	0
ENSMUSG00000000561|Wdr77	20836	15566	17015	18090	24704	14950	16926	13723	11517	1575	1432	1514	1472	1392	1512	1473
ENSMUSG00000000562|Adora3	2	4	3	2	1	2	3	0	8	649	654	629	618	641	708	720
ENSMUSG00000000563|Atp5f1	2726	3096	2426	2680	3368	2435	2620	2368	2687	2776	2811	2861	3057	2799	2959	2852
ENSMUSG00000000567|Sox9	61	171	72	100	64	97	95	74	111	134	136	127	183	135	117	159
ENSMUSG00000000568|Hnrnpd	899	923	732	812	878	832	762	859	1024	543	544	612	676	571	587	598
ENSMUSG00000000579|Dynlt1c	94	87	54	103	137	64	75	99	109	176	181	181	181	198	162	160
ENSMUSG00000000581|C1d	562	606	550	517	658	526	521	523	618	339	248	314	266	331	382	348
