	f_pHep_m_ConvR_1	f_pHep_m_ConvR_2	f_pHep_m_ConvR_3	f_pHep_f_ConvR_1	f_pHep_f_ConvR_2	f_pHep_f_ConvR_3	f_pHep_f_ConvR_1	f_pHep_f_GF_serum_2	f_pHep_f_GF_serum_3	f_pHep_f_GF_serum__GH_1	f_pHep_f_GF_serum_GH_2	f_pHep_f_GF_serum_GH_3	m_pHep_m_ConvR_1	m_pHep_m_ConvR_2	m_pHep_m_ConvR_3
ENSMUSG00000000001|Gnai3	13938	13872	16146	17628	19685	19694	15715	16347	14257	18475	18029	20158	12914	14697	13956
ENSMUSG00000000003|Pbsn	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000000028|Cdc45	93	101	91	124	112	117	87	98	116	151	107	165	33	53	45
ENSMUSG00000000031|H19	2	0	0	0	0	0	0	0	0	0	0	2	0	1	5
ENSMUSG00000000037|Scml2	18	27	34	44	38	41	33	22	16	32	29	45	49	13	23
ENSMUSG00000000049|Apoh	5109	5624	5658	6624	7163	5877	5477	4968	4786	7384	5389	7640	12953	14012	13882
ENSMUSG00000000056|Narf	594	479	704	675	760	593	583	707	626	701	580	849	828	962	928
ENSMUSG00000000058|Cav2	462	342	456	638	680	515	475	520	393	675	462	654	888	1168	1125
ENSMUSG00000000078|Klf6	46431	40451	52169	45563	55306	58089	46285	58976	46550	54699	60064	61696	31352	37442	33584
ENSMUSG00000000085|Scmh1	274	258	271	325	371	279	276	310	219	454	254	315	177	229	195
ENSMUSG00000000088|Cox5a	4769	4946	5027	5034	5733	5417	4868	4945	4720	5986	5214	5860	4468	4802	4695
ENSMUSG00000000093|Tbx2	14	20	7	23	6	16	13	19	9	12	4	19	23	14	28
ENSMUSG00000000094|Tbx4	0	2	0	0	1	4	0	0	0	0	0	0	1	4	0
ENSMUSG00000000103|Zfy2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120|Ngfr	0	0	2	0	0	8	2	4	2	1	1	2	8	6	6
ENSMUSG00000000125|Wnt3	0	2	2	2	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000000126|Wnt9a	458	435	471	424	569	493	343	407	314	379	431	471	389	460	383
ENSMUSG00000000127|Fer	751	835	913	1179	1257	1097	974	861	781	1163	1038	1261	907	902	825
ENSMUSG00000000131|Xpo6	3927	3381	3839	4037	4830	4040	3830	4307	3276	5003	3854	4375	2303	2842	2525
ENSMUSG00000000134|Tfe3	2560	2000	2278	2543	2922	2537	2170	2546	2229	2659	2588	2727	1956	1956	1820
ENSMUSG00000000142|Axin2	18	19	16	54	44	30	21	28	35	35	22	33	13	13	7
ENSMUSG00000000148|Baat1	1100	1164	1255	1234	1511	1452	1152	1343	1142	1336	1192	1441	931	1043	955
ENSMUSG00000000149|Gna12	3813	3829	3870	3615	4518	3838	3429	3440	3207	3948	3621	4083	2088	2323	2425
ENSMUSG00000000154|Slc22a18	639	622	532	921	971	836	656	598	593	752	661	834	889	844	784
ENSMUSG00000000157|Itgb2l	0	0	0	0	0	1	0	0	0	2	0	1	2	1	1
ENSMUSG00000000159|Igsf5	1348	1414	1459	2036	2152	1763	1430	1427	1223	1923	1480	1937	1440	1572	1486
ENSMUSG00000000167|Pih1d2	137	164	124	161	161	211	162	156	123	152	161	182	96	128	88
ENSMUSG00000000168|Dlat	4051	3909	4535	4580	5326	4968	4396	4984	4627	5582	4764	5701	3247	3532	3565
ENSMUSG00000000171|Sdhd	4591	4752	4866	5507	6400	6054	4763	4984	4623	5844	5346	6466	4638	4884	4959
ENSMUSG00000000182|Fgf23	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0
ENSMUSG00000000183|Fgf6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000000184|Ccnd2	147	83	113	120	105	190	149	173	139	151	163	164	152	144	170
ENSMUSG00000000194|Gpr107	2077	1982	2267	2607	3120	2531	2199	2079	1895	2723	2270	2806	2084	2337	2144
ENSMUSG00000000197|Nalcn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000202|Btbd17	2	2	1	3	0	0	3	0	1	0	2	1	1	3	1
ENSMUSG00000000204|Slfn4	11	20	12	9	16	18	16	16	8	20	24	15	6	13	19
ENSMUSG00000000214|Th	0	0	0	0	1	0	1	1	0	0	0	0	0	1	1
ENSMUSG00000000215|Ins2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ENSMUSG00000000216|Scnn1g	0	2	0	1	0	0	0	1	0	0	1	0	0	1	1
ENSMUSG00000000223|Drp2	1	3	0	0	0	0	0	0	5	4	0	1	1	2	0
ENSMUSG00000000244|Tspan32	4	0	2	1	0	0	0	0	1	0	2	0	5	0	0
ENSMUSG00000000247|Lhx2	10	28	8	6	12	16	14	10	18	11	13	14	5	11	12
ENSMUSG00000000248|Clec2g	1	4	7	4	8	7	6	11	4	15	3	4	5	5	8
ENSMUSG00000000253|Gmpr	2	4	2	3	4	8	0	7	3	7	2	7	2	1	1
ENSMUSG00000000263|Glra1	0	0	1	0	0	1	1	0	2	1	2	2	1	1	0
ENSMUSG00000000266|Mid2	833	866	978	1158	1320	1032	868	960	747	1264	1025	1309	681	838	725
ENSMUSG00000000275|Trim25	4176	3059	3936	4624	5311	3993	3959	4296	3217	5034	4220	4505	2919	3376	2967
ENSMUSG00000000276|Dgke	298	359	362	486	537	454	369	403	316	440	422	483	266	371	340
ENSMUSG00000000278|Scpep1	5272	4226	5821	4637	5438	6165	5982	7501	6128	6251	6619	7042	4419	4844	4580
ENSMUSG00000000282|Mnt	946	480	645	426	468	485	599	825	497	550	648	595	521	459	549
ENSMUSG00000000290|Itgb2	111	76	87	89	98	132	86	134	101	115	113	129	31	53	40
ENSMUSG00000000295|Hddc2	247	225	286	275	376	333	251	234	254	325	266	370	220	220	193
ENSMUSG00000000296|Tpd52l1	358	391	403	389	478	429	358	387	395	470	421	551	190	201	216
ENSMUSG00000000301|Pemt	402	413	409	486	521	453	380	349	350	472	382	557	494	560	489
ENSMUSG00000000303|Cdh1	259	275	247	499	514	446	306	418	284	513	388	498	1480	1961	1508
ENSMUSG00000000305|Cdh4	0	0	3	2	4	1	2	4	5	9	4	3	0	2	4
ENSMUSG00000000308|Ckmt1	2	5	2	0	5	14	6	6	1	3	3	4	4	4	8
ENSMUSG00000000317|Bcl6b	13	17	13	12	25	15	10	13	13	46	46	44	34	24	32
ENSMUSG00000000318|Clec10a	1	3	4	3	3	0	11	3	1	5	2	7	0	3	2
ENSMUSG00000000320|Alox12	0	8	7	0	8	4	3	3	2	3	4	5	3	6	11
ENSMUSG00000000325|Arvcf	1807	1632	1617	1942	2489	2311	1543	1714	1469	1474	1561	1839	1783	1879	1651
ENSMUSG00000000326|Comt	13646	16404	15654	18557	19484	15427	13864	12387	12048	18131	13908	17362	9117	9851	9931
ENSMUSG00000000339|Rtcd1	1244	1108	1205	1291	1415	1497	1322	1323	1304	1381	1397	1443	1048	1105	1168
ENSMUSG00000000340|Dbt	1628	1596	1791	2392	2513	2445	1922	1981	1596	2456	2164	2427	1483	1622	1401
ENSMUSG00000000346|Dazap2	7028	5511	6688	6737	7765	7758	6452	7579	6579	7553	7336	8825	6847	7574	7504
ENSMUSG00000000355|Mcts1	621	665	823	868	1002	920	731	797	753	965	895	959	758	807	846
ENSMUSG00000000359|Rem1	6	2	3	4	6	3	4	6	4	1	5	6	13	4	6
ENSMUSG00000000365|Rnf17	1	5	1	1	4	4	1	0	2	0	1	3	1	5	2
ENSMUSG00000000374|Trappc10	2647	2700	2843	3035	3536	3111	2599	2867	2505	3466	2878	3271	2001	2214	2112
ENSMUSG00000000378|Ccm2	1679	1836	1840	1626	1809	1752	1583	1814	1787	2043	1772	2199	1560	1624	1675
ENSMUSG00000000381|Wap	4	4	2	10	1	0	3	0	0	3	4	7	0	1	4
ENSMUSG00000000384|Tbrg4	4400	3985	4065	4412	5202	4568	3833	4452	3842	4722	4182	4783	2791	3073	2804
ENSMUSG00000000385|Tmprss2	814	827	835	1061	1362	1368	786	793	701	866	841	978	1020	1098	938
ENSMUSG00000000386|Mx1	12	9	12	32	31	21	14	7	18	14	16	14	11	47	44
ENSMUSG00000000392|Fap	58	56	51	99	135	74	88	65	39	131	84	74	28	45	22
ENSMUSG00000000394|Gcg	0	0	0	0	0	4	0	0	1	3	0	0	0	0	0
ENSMUSG00000000399|Ndufa9	2733	3100	3031	3391	4015	3648	2965	3050	2774	3671	3389	3924	2772	2836	2909
ENSMUSG00000000402|Egfl6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000409|Lck	7	12	3	5	6	5	6	9	2	7	7	3	4	12	11
ENSMUSG00000000411|Tssk3	1	1	2	2	5	0	2	4	2	1	2	2	2	4	1
ENSMUSG00000000416|Cttnbp2	5	4	2	2	1	0	1	0	2	2	1	3	2	1	0
ENSMUSG00000000420|Galnt1	4769	4906	5758	5654	5992	5028	5281	5213	4639	7222	5790	7209	4959	5685	5941
ENSMUSG00000000435|Myf5	0	0	0	0	0	1	0	0	0	0	2	0	0	0	2
ENSMUSG00000000439|Mkrn2	916	927	895	1095	1244	1251	1072	1044	857	1120	961	1159	776	790	743
ENSMUSG00000000440|Pparg	156	222	200	295	347	200	188	169	171	277	172	248	142	215	202
ENSMUSG00000000441|Raf1	4261	4725	4693	5671	7100	6234	4800	4593	3857	5592	4726	5675	4509	5027	4413
ENSMUSG00000000486|Sept1	12	4	4	7	3	4	6	4	8	3	2	7	4	7	13
ENSMUSG00000000489|Pdgfb	2820	3115	2754	3361	3481	2141	2455	2240	1941	4322	3406	3876	1970	1997	2443
ENSMUSG00000000530|Acvrl1	16	16	18	6	19	14	12	21	24	10	16	24	19	10	5
ENSMUSG00000000531|Grasp	16	13	18	9	23	20	12	15	11	7	17	9	13	18	22
