fromNode	toNode	weight	direction	fromAltName	toAltName
ENSMUSG00000000154	ENSMUSG00000000563	0.0891625359510624	undirected	Slc22a18	Atp5f1
ENSMUSG00000000154	ENSMUSG00000001018	0.106637411611341	undirected	Slc22a18	Snapin
ENSMUSG00000000154	ENSMUSG00000001229	0.12671217433662	undirected	Slc22a18	Dpp9
ENSMUSG00000000154	ENSMUSG00000001833	0.0696818315144816	undirected	Slc22a18	Sept7
ENSMUSG00000000154	ENSMUSG00000001891	0.0825250082339465	undirected	Slc22a18	Ugp2
ENSMUSG00000000154	ENSMUSG00000001942	0.109534044606219	undirected	Slc22a18	Siae
ENSMUSG00000000154	ENSMUSG00000002031	0.167657472809161	undirected	Slc22a18	Ift46
ENSMUSG00000000154	ENSMUSG00000002227	0.102865025730979	undirected	Slc22a18	Mov10
ENSMUSG00000000154	ENSMUSG00000002320	0.241072642719568	undirected	Slc22a18	Tm9sf1
ENSMUSG00000000154	ENSMUSG00000004071	0.135418796646233	undirected	Slc22a18	Cdip1
ENSMUSG00000000154	ENSMUSG00000004880	0.208519515227914	undirected	Slc22a18	Lbr
ENSMUSG00000000154	ENSMUSG00000004936	0.207353435213869	undirected	Slc22a18	Map2k1
ENSMUSG00000000154	ENSMUSG00000004945	0.162292447859178	undirected	Slc22a18	Tmem242
ENSMUSG00000000154	ENSMUSG00000004980	0.135844383133285	undirected	Slc22a18	Hnrnpa2b1
ENSMUSG00000000154	ENSMUSG00000005225	0.191319308106161	undirected	Slc22a18	Plekha8
ENSMUSG00000000154	ENSMUSG00000005354	0.224530498776964	undirected	Slc22a18	Txn2
ENSMUSG00000000154	ENSMUSG00000005682	0.128219045397096	undirected	Slc22a18	Pan2
ENSMUSG00000000154	ENSMUSG00000005803	0.055285886956767	undirected	Slc22a18	Sqrdl
ENSMUSG00000000154	ENSMUSG00000007458	0.137427814122721	undirected	Slc22a18	M6pr
ENSMUSG00000000154	ENSMUSG00000007850	0.162783079375615	undirected	Slc22a18	Hnrnph1
ENSMUSG00000000154	ENSMUSG00000009654	0.126156522519814	undirected	Slc22a18	Oit3
ENSMUSG00000000154	ENSMUSG00000010045	0.0273363642684788	undirected	Slc22a18	Tmem115
ENSMUSG00000000154	ENSMUSG00000010048	0.14577671468517	undirected	Slc22a18	Ifrd2
ENSMUSG00000000154	ENSMUSG00000010110	0.0764522034347823	undirected	Slc22a18	Stx5a
ENSMUSG00000000154	ENSMUSG00000012117	0.0693982000080093	undirected	Slc22a18	Dhdds
ENSMUSG00000000154	ENSMUSG00000012422	0.293434039835794	undirected	Slc22a18	Tmem167
ENSMUSG00000000154	ENSMUSG00000014226	0.113230582171248	undirected	Slc22a18	Cacybp
ENSMUSG00000000154	ENSMUSG00000014769	0.0760018195279626	undirected	Slc22a18	Psmb1
ENSMUSG00000000154	ENSMUSG00000014850	0.0279231878735536	undirected	Slc22a18	Msh3
ENSMUSG00000000154	ENSMUSG00000015165	0.178702593810173	undirected	Slc22a18	Hnrnpl
ENSMUSG00000000154	ENSMUSG00000016194	0.096467889146965	undirected	Slc22a18	Hsd11b1
ENSMUSG00000000154	ENSMUSG00000016520	0.0262779763361942	undirected	Slc22a18	Lnx2
ENSMUSG00000000154	ENSMUSG00000018761	0.0397573139767981	undirected	Slc22a18	Mpdu1
ENSMUSG00000000154	ENSMUSG00000019054	0.187977414234222	undirected	Slc22a18	Fis1
ENSMUSG00000000154	ENSMUSG00000019843	0.10745671780184	undirected	Slc22a18	Fyn
ENSMUSG00000000154	ENSMUSG00000020003	0.145146933510816	undirected	Slc22a18	Pex7
ENSMUSG00000000154	ENSMUSG00000020048	0.261601245570337	undirected	Slc22a18	Hsp90b1
ENSMUSG00000000154	ENSMUSG00000020307	0.133404149671038	undirected	Slc22a18	Cdc34
ENSMUSG00000000154	ENSMUSG00000020514	0.110365494807223	undirected	Slc22a18	Mrpl22
ENSMUSG00000000154	ENSMUSG00000020538	0.17605748947734	undirected	Slc22a18	Srebf1
ENSMUSG00000000154	ENSMUSG00000021094	0.104962446062315	undirected	Slc22a18	Dhrs7
ENSMUSG00000000154	ENSMUSG00000021133	0.212640496383465	undirected	Slc22a18	4933426M11Rik
ENSMUSG00000000154	ENSMUSG00000021140	0.0860396507435466	undirected	Slc22a18	Pcnx
ENSMUSG00000000154	ENSMUSG00000021281	0.199794272085592	undirected	Slc22a18	Tnfaip2
ENSMUSG00000000154	ENSMUSG00000021327	0.258194459432965	undirected	Slc22a18	Zkscan3
ENSMUSG00000000154	ENSMUSG00000021371	0.142135279275489	undirected	Slc22a18	Ccdc90a
ENSMUSG00000000154	ENSMUSG00000021638	0.116714644393125	undirected	Slc22a18	Ocln
ENSMUSG00000000154	ENSMUSG00000021681	0.154306648513942	undirected	Slc22a18	Aggf1
ENSMUSG00000000154	ENSMUSG00000021704	0.199817411890182	undirected	Slc22a18	Mtx3
ENSMUSG00000000154	ENSMUSG00000021710	0.0950627566867359	undirected	Slc22a18	Nln
ENSMUSG00000000154	ENSMUSG00000021868	0.168670954355994	undirected	Slc22a18	Ppif
ENSMUSG00000000154	ENSMUSG00000021922	0.137290405805369	undirected	Slc22a18	Itih4
ENSMUSG00000000154	ENSMUSG00000021990	0.315147805146283	undirected	Slc22a18	Spata13
ENSMUSG00000000154	ENSMUSG00000022558	0.207638767496333	undirected	Slc22a18	Heatr7a
ENSMUSG00000000154	ENSMUSG00000022607	0.116670330854811	undirected	Slc22a18	Ptk2
ENSMUSG00000000154	ENSMUSG00000022781	0.195131272403784	undirected	Slc22a18	Pak2
ENSMUSG00000000154	ENSMUSG00000022911	0.229266416556039	undirected	Slc22a18	Arl13b
ENSMUSG00000000154	ENSMUSG00000022956	0.148893081200742	undirected	Slc22a18	Atp5o
ENSMUSG00000000154	ENSMUSG00000023055	0.203924607237949	undirected	Slc22a18	Calcoco1
ENSMUSG00000000154	ENSMUSG00000023829	0.0832312765134023	undirected	Slc22a18	Slc22a1
ENSMUSG00000000154	ENSMUSG00000023965	0.106810677095702	undirected	Slc22a18	Fbxl17
ENSMUSG00000000154	ENSMUSG00000024085	0.0395540570516121	undirected	Slc22a18	Man2a1
ENSMUSG00000000154	ENSMUSG00000024098	0.30037795549027	undirected	Slc22a18	Twsg1
ENSMUSG00000000154	ENSMUSG00000024212	0.237687783893068	undirected	Slc22a18	Mllt1
ENSMUSG00000000154	ENSMUSG00000024360	0.106209102174324	undirected	Slc22a18	Etf1
ENSMUSG00000000154	ENSMUSG00000024369	0.070462560881263	undirected	Slc22a18	Rdbp
ENSMUSG00000000154	ENSMUSG00000024580	0.0314155067982528	undirected	Slc22a18	Grpel2
ENSMUSG00000000154	ENSMUSG00000024949	0.164437082823952	undirected	Slc22a18	Sf1
ENSMUSG00000000154	ENSMUSG00000025240	0.109025391072556	undirected	Slc22a18	Sacm1l
ENSMUSG00000000154	ENSMUSG00000025246	0.10409026754814	undirected	Slc22a18	Tbl1x
ENSMUSG00000000154	ENSMUSG00000025290	0.158510494329999	undirected	Slc22a18	Rps24
ENSMUSG00000000154	ENSMUSG00000025364	0.150347678670065	undirected	Slc22a18	Pa2g4
ENSMUSG00000000154	ENSMUSG00000025464	0.184045315903497	undirected	Slc22a18	Paox
ENSMUSG00000000154	ENSMUSG00000025481	0.119007990172985	undirected	Slc22a18	1190003J15Rik
ENSMUSG00000000154	ENSMUSG00000025485	0.0425146314048411	undirected	Slc22a18	Ric8
ENSMUSG00000000154	ENSMUSG00000026276	0.18154160047782	undirected	Slc22a18	Sept2
ENSMUSG00000000154	ENSMUSG00000026437	0.117068449019898	undirected	Slc22a18	Cdk18
ENSMUSG00000000154	ENSMUSG00000026819	0.143109885943312	undirected	Slc22a18	Slc25a25
ENSMUSG00000000154	ENSMUSG00000026853	0.0481802131651229	undirected	Slc22a18	Crat
ENSMUSG00000000154	ENSMUSG00000026864	0.159545327687303	undirected	Slc22a18	Hspa5
ENSMUSG00000000154	ENSMUSG00000026878	0.315164073596663	undirected	Slc22a18	Rab14
ENSMUSG00000000154	ENSMUSG00000027170	0.0643213386396753	undirected	Slc22a18	Eif3m
ENSMUSG00000000154	ENSMUSG00000027439	0.185043151912144	undirected	Slc22a18	Gzf1
ENSMUSG00000000154	ENSMUSG00000027540	0.040039403646099	undirected	Slc22a18	Ptpn1
ENSMUSG00000000154	ENSMUSG00000027997	0.213957228494208	undirected	Slc22a18	Casp6
ENSMUSG00000000154	ENSMUSG00000028199	0.187750704797702	undirected	Slc22a18	Cryz
ENSMUSG00000000154	ENSMUSG00000028245	0.157294206927067	undirected	Slc22a18	Nsmaf
